gameID	shooterID	assisterID	minute	situation	lastAction	shotType	shotResult	xGoal	positionX	positionY	modifiedDate
86	682	700	75	OpenPlay	Pass	RightFoot	BlockedShot	0.016777694	0.785	0.295	
86	696	701	86	OpenPlay	Pass	RightFoot	MissedShots	0.066054814	0.816999969	0.535999985	
86	717	769	6	FromCorner	Cross	Head	MissedShots	0.038043533	0.916999969	0.595999985	
86	717	769	14	OpenPlay	TakeOn	LeftFoot	BlockedShot	0.365916997	0.885	0.440999985	
86	723	717	14	OpenPlay	Pass	LeftFoot	SavedShot	0.035971649	0.811999969	0.362999992	
86	717	715	28	OpenPlay	Cross	Head	SavedShot	0.312094688	0.924000015	0.450999985	
86	713	NA	28	OpenPlay	Rebound	LeftFoot	BlockedShot	0.556184769	0.936999969	0.524000015	
86	713	NA	28	OpenPlay	Rebound	LeftFoot	Goal	0.510695219	0.929000015	0.537000008	
86	708	NA	29	OpenPlay	Aerial	RightFoot	OwnGoal	0	0.056999998	0.295	
86	714	715	36	OpenPlay	Pass	RightFoot	SavedShot	0.017624633	0.775	0.693000031	
86	714	NA	46	DirectFreekick	Standard	RightFoot	BlockedShot	0.067127988	0.788000031	0.675999985	
86	717	769	46	FromCorner	Cross	LeftFoot	BlockedShot	0.057061717	0.926999969	0.602000008	
86	708	769	47	FromCorner	Cross	Head	MissedShots	0.1201993	0.934000015	0.524000015	
86	714	NA	49	FromCorner	Foul	LeftFoot	BlockedShot	0.039194189	0.86	0.629000015	
86	717	NA	54	Penalty	Standard	RightFoot	Goal	0.761168838	0.885	0.5	
86	715	769	57	OpenPlay	TakeOn	RightFoot	SavedShot	0.024525126	0.805	0.66	
86	715	714	60	OpenPlay	Pass	RightFoot	SavedShot	0.06907884	0.963000031	0.665999985	
86	769	712	66	OpenPlay	Pass	LeftFoot	BlockedShot	0.025423514	0.768000031	0.595999985	
86	719	769	72	OpenPlay	Pass	RightFoot	SavedShot	0.094644777	0.904000015	0.63	
86	713	963	80	OpenPlay	Pass	LeftFoot	SavedShot	0.025434036	0.846999969	0.25	
87	771	772	6	OpenPlay	Pass	RightFoot	BlockedShot	0.102217451	0.856999969	0.479000015	
87	850	771	14	OpenPlay	Save	RightFoot	SavedShot	0.049910534	0.803000031	0.492999992	
87	941	850	20	SetPiece	Cross	LeftFoot	BlockedShot	0.107843675	0.929000015	0.454000015	
87	941	767	36	FromCorner	Cross	LeftFoot	BlockedShot	0.075482309	0.903000031	0.502000008	
87	850	NA	41	FromCorner	None	OtherBodyPart	Goal	0.975607991	0.995	0.495999985	
87	771	851	47	OpenPlay	Cross	Head	Goal	0.144658998	0.915	0.455999985	
87	851	943	49	OpenPlay	Pass	RightFoot	MissedShots	0.022573402	0.720999985	0.645	
87	768	851	61	FromCorner	Pass	RightFoot	MissedShots	0.022700321	0.783000031	0.569000015	
87	850	767	69	FromCorner	Cross	LeftFoot	MissedShots	0.045138385	0.929000015	0.635	
87	847	NA	14	OpenPlay	None	RightFoot	SavedShot	0.060842194	0.955	0.335999985	
87	840	844	17	OpenPlay	Chipped	LeftFoot	BlockedShot	0.013054513	0.733000031	0.372000008	
87	841	847	23	OpenPlay	Aerial	Head	Goal	0.03558065	0.915	0.579000015	
87	844	840	34	OpenPlay	Aerial	Head	MissedShots	0.066460714	0.915999985	0.509000015	
87	838	NA	38	OpenPlay	Interception	LeftFoot	MissedShots	0.055271443	0.819000015	0.637000008	
87	840	847	46	OpenPlay	Cross	LeftFoot	MissedShots	0.074229553	0.89	0.407999992	
87	845	883	46	SetPiece	Cross	Head	SavedShot	0.454989582	0.935	0.482000008	
87	834	840	63	FromCorner	Cross	Head	MissedShots	0.112236485	0.93	0.472000008	
87	840	883	68	OpenPlay	Pass	LeftFoot	BlockedShot	0.017777838	0.79	0.231000004	
87	841	840	71	OpenPlay	Chipped	RightFoot	MissedShots	0.044287026	0.886999969	0.31	
87	839	840	78	OpenPlay	Aerial	Head	Goal	0.03630523	0.925999985	0.565	
87	839	840	83	OpenPlay	Pass	RightFoot	MissedShots	0.01386926	0.689000015	0.517000008	
87	838	883	90	OpenPlay	TakeOn	RightFoot	BlockedShot	0.147198409	0.859000015	0.55	
87	838	840	93	OpenPlay	TakeOn	LeftFoot	MissedShots	0.120797567	0.846999969	0.439000015	
88	499	NA	7	DirectFreekick	Standard	LeftFoot	BlockedShot	0.063183829	0.778000031	0.332999992	
88	494	967	8	FromCorner	Chipped	Head	MissedShots	0.017912433	0.855999985	0.554000015	
88	966	NA	10	OpenPlay	None	RightFoot	MissedShots	0.031294327	0.779000015	0.550999985	
88	502	497	25	OpenPlay	Cross	LeftFoot	BlockedShot	0.069391459	0.919000015	0.627000008	
88	965	966	27	OpenPlay	Cross	LeftFoot	MissedShots	0.031402044	0.916999969	0.693000031	
88	504	966	30	OpenPlay	BallTouch	RightFoot	BlockedShot	0.01908558	0.803000031	0.262000008	
88	507	499	32	FromCorner	Cross	Head	SavedShot	0.080390021	0.911999969	0.527999992	
88	504	965	38	OpenPlay	Pass	RightFoot	MissedShots	0.022039892	0.751999969	0.467000008	
88	499	504	44	OpenPlay	Pass	RightFoot	BlockedShot	0.08576113	0.903000031	0.587000008	
88	967	NA	44	OpenPlay	Rebound	RightFoot	MissedShots	0.028445426	0.819000015	0.301000004	
88	966	965	50	OpenPlay	Pass	RightFoot	BlockedShot	0.045121346	0.873000031	0.705999985	
88	502	499	54	OpenPlay	Pass	LeftFoot	MissedShots	0.061159316	0.903000031	0.679000015	
88	502	966	55	OpenPlay	Pass	LeftFoot	SavedShot	0.070663765	0.845	0.415	
